0.0,4.0,rock
1.0,3.0,pop
2.0,7.3,hip-hop
2.0,6.9,electronic
2.0,7.3,hip-hop
3.0,5.1,rock
3.0,7.2,hip-hop
3.0,6.9,hip-hop
3.0,7.2,hip-hop
3.0,6.8,pop
3.0,6.7,rock
3.0,7.6,rock
3.0,4.9,hip-hop
3.0,6.7,hip-hop
3.0,4.9,rock
4.0,6.7,hip-hop
4.0,7.8,loud-rock
4.0,7.8,hip-hop
4.0,5.9,hip-hop
4.0,6.8,electronic
4.0,6.8,pop
4.0,7.8,loud-rock
4.0,8.0,rock
4.0,7.2,hip-hop
4.0,5.9,pop
4.0,6.5,pop
4.0,6.8,pop
4.0,8.6,hip-hop
4.0,6.7,hip-hop
4.0,5.8,rock
4.0,8.1,rock
4.0,5.5,hip-hop
4.0,5.4,rock
4.0,8.3,hip-hop
4.0,5.4,hip-hop
4.0,6.6,pop
4.0,6.3,hip-hop
5.0,7.3,hip-hop
5.0,6.2,pop
5.0,7.1,hip-hop
5.0,7.9,hip-hop
5.0,6.7,pop
5.0,5.2,electronic
5.0,7.1,hip-hop
5.0,5.1,pop
5.0,9.0,other
5.0,7.6,hip-hop
5.0,6.3,pop
5.0,7.3,rock
5.0,6.1,hip-hop
5.0,7.6,pop
5.0,8.3,hip-hop
5.0,5.4,rock
5.0,7.5,hip-hop
5.0,6.4,electronic
5.0,8.2,electronic
5.0,8.2,electronic
5.0,7.9,hip-hop
5.0,6.5,pop
5.0,6.2,pop
5.0,8.3,pop
5.0,7.6,hip-hop
5.0,4.8,pop
5.0,6.2,pop
5.0,6.4,hip-hop
5.0,6.8,hip-hop
5.0,8.1,pop
5.0,7.7,pop
5.0,7.6,hip-hop
5.0,7.5,pop
5.0,6.7,rock
5.0,7.2,pop
5.0,7.8,electronic
5.0,7.4,pop
5.0,8.9,pop
5.0,7.6,rock
5.0,7.2,rock
5.0,7.4,electronic
5.0,4.5,rock
5.0,7.8,hip-hop
5.0,8.3,pop
5.0,6.5,hip-hop
5.0,8.0,rock
5.0,8.4,hip-hop
5.0,5.5,rock
5.0,8.6,rock
5.0,6.3,rock
5.0,6.4,rock
5.0,6.7,hip-hop
5.0,7.2,electronic
5.0,6.7,rock
6.0,7.9,rock
6.0,8.5,no-genre
6.0,8.0,pop
6.0,7.4,hip-hop
6.0,6.7,loud-rock
6.0,6.3,hip-hop
6.0,8.0,rock
6.0,8.4,pop
6.0,6.7,hip-hop
6.0,6.5,loud-rock
6.0,6.9,pop
6.0,8.7,electronic
6.0,7.0,rock
6.0,8.1,hip-hop
6.0,7.6,hip-hop
6.0,6.9,hip-hop
6.0,7.0,hip-hop
6.0,8.8,pop
6.0,7.8,rock
6.0,8.0,loud-rock
6.0,8.0,electronic
6.0,9.0,pop
6.0,6.0,hip-hop
6.0,7.5,electronic
6.0,7.3,electronic
6.0,7.2,hip-hop
6.0,9.0,hip-hop
6.0,8.0,other
6.0,7.3,hip-hop
6.0,8.1,rock
6.0,5.0,rock
6.0,8.0,rock
6.0,7.5,rock
6.0,7.2,hip-hop
6.0,8.1,pop
6.0,6.5,loud-rock
6.0,8.4,electronic
6.0,7.7,hip-hop
6.0,7.8,other
6.0,6.1,hip-hop
6.0,7.2,pop
6.0,7.2,rock
6.0,7.2,hip-hop
6.0,6.6,electronic
6.0,8.4,rock
6.0,9.0,loud-rock
6.0,7.5,rock
6.0,7.7,rock
6.0,8.0,hip-hop
6.0,8.2,loud-rock
6.0,8.0,pop
6.0,8.4,pop
6.0,7.6,hip-hop
6.0,6.4,rock
6.0,7.7,rock
6.0,8.8,hip-hop
6.0,8.3,other
6.0,7.8,rock
6.0,7.3,pop
6.0,8.0,hip-hop
6.0,6.0,loud-rock
6.0,8.6,rock
6.0,8.7,pop
6.0,6.7,no-genre
6.0,5.6,rock
6.0,7.3,electronic
6.0,5.9,electronic
6.0,8.0,hip-hop
6.0,7.6,rock
6.0,7.0,rock
6.0,7.4,rock
6.0,6.7,rock
6.0,7.6,rock
7.0,7.8,pop
7.0,8.4,loud-rock
7.0,7.6,hip-hop
7.0,7.3,pop
7.0,8.1,hip-hop
7.0,7.9,no-genre
7.0,7.0,rock
7.0,4.4,hip-hop
7.0,7.2,no-genre
7.0,5.9,pop
7.0,6.2,pop
7.0,6.4,rock
7.0,7.8,hip-hop
7.0,6.9,loud-rock
7.0,8.2,hip-hop
7.0,8.0,hip-hop
7.0,8.5,hip-hop
7.0,6.9,hip-hop
7.0,7.1,other
7.0,7.6,rock
7.0,6.9,rock
7.0,8.5,electronic
7.0,8.2,hip-hop
7.0,7.9,pop
7.0,7.7,rock
7.0,9.1,hip-hop
7.0,7.8,hip-hop
7.0,7.6,other
7.0,7.6,rock
7.0,7.3,hip-hop
7.0,7.5,rock
7.0,4.8,hip-hop
7.0,6.9,rock
7.0,7.9,loud-rock
7.0,5.8,rock
7.0,7.6,pop
7.0,8.6,pop
7.0,8.3,loud-rock
7.0,8.0,rock
7.0,7.6,hip-hop
7.0,7.8,hip-hop
7.0,7.3,pop
7.0,7.4,loud-rock
7.0,8.5,pop
7.0,8.1,rock
7.0,8.2,rock
7.0,8.6,pop
7.0,7.9,rock
7.0,7.3,hip-hop
7.0,7.6,pop
7.0,7.0,rock
7.0,7.4,pop
7.0,7.3,pop
7.0,6.9,hip-hop
7.0,7.8,electronic
7.0,7.2,hip-hop
7.0,5.0,electronic
7.0,9.3,pop
7.0,7.4,hip-hop
7.0,9.3,electronic
7.0,7.0,rock
7.0,7.2,other
7.0,8.4,no-genre
7.0,6.6,pop
7.0,6.4,electronic
7.0,9.3,no-genre
7.0,7.4,rock
7.0,8.0,rock
7.0,6.8,other
7.0,7.6,electronic
8.0,6.4,pop
8.0,7.4,rock
8.0,7.6,hip-hop
8.0,8.6,pop
8.0,7.4,hip-hop
8.0,7.5,loud-rock
8.0,7.5,no-genre
8.0,7.1,pop
8.0,8.0,rock
8.0,8.7,pop
8.0,6.6,pop
8.0,7.1,loud-rock
8.0,7.9,rock
8.0,8.1,loud-rock
8.0,9.0,other
8.0,5.3,hip-hop
8.0,8.8,rock
8.0,7.1,pop
8.0,8.0,hip-hop
8.0,7.5,rock
8.0,8.0,hip-hop
8.0,7.8,loud-rock
8.0,8.0,hip-hop
8.0,8.0,pop
8.0,7.6,pop
8.0,8.5,rock
8.0,8.2,loud-rock
8.0,9.1,rock
8.0,8.2,hip-hop
8.0,8.0,rock
8.0,8.5,pop
8.0,8.0,other
8.0,8.6,hip-hop
8.0,7.6,rock
8.0,7.8,electronic
8.0,7.4,loud-rock
8.0,7.3,rock
8.0,8.5,loud-rock
8.0,6.6,electronic
8.0,8.7,electronic
8.0,7.5,loud-rock
8.0,8.5,pop
8.0,7.4,hip-hop
8.0,8.0,rock
8.0,7.5,hip-hop
8.0,6.0,hip-hop
8.0,7.5,rock
8.0,7.2,pop
8.0,5.9,loud-rock
8.0,8.0,loud-rock
8.0,7.7,rock
8.0,7.1,pop
8.0,7.9,rock
8.0,8.5,other
8.0,8.1,rock
8.0,6.6,no-genre
8.0,6.8,pop
8.0,7.4,no-genre
8.0,8.3,pop
8.0,8.8,no-genre
8.0,8.0,rock
9.0,6.5,rock
9.0,9.0,hip-hop
9.0,8.5,hip-hop
9.0,8.1,rock
9.0,8.1,hip-hop
9.0,7.7,rock
9.0,8.5,rock
9.0,8.4,pop
9.0,6.2,loud-rock
9.0,8.6,pop
9.0,2.4,rock
10.0,9.3,hip-hop
